seqName,insertions,aaInsertions
EPI_ISL_17646685|A/Netherlands/10520/2023|A_/_H1N1|pdm09|PB1|Original|2023-04-23,,
EPI_ISL_17646684|A/Netherlands/10519/2023|A_/_H1N1|pdm09|PB1|Original|2023-04-19,,
EPI_ISL_17646679|A/Netherlands/10514/2023|A_/_H1N1|pdm09|PB1|Original|2023-04-19,,
EPI_ISL_17517081|A/Netherlands/10512/2023|A_/_H1N1|pdm09|PB1|Original|2023-04-09,,
EPI_ISL_17517078|A/Netherlands/10507/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-28,,
EPI_ISL_17517076|A/Netherlands/10509/2023|A_/_H1N1|pdm09|PB1|Original|2023-04-06,,
EPI_ISL_17517075|A/Netherlands/10508/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-30,,
EPI_ISL_17517073|A/Netherlands/10504/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-30,,
EPI_ISL_17416688|A/Netherlands/10506/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-25,,
EPI_ISL_17382826|A/Netherlands/10496/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-17,,
EPI_ISL_17382834|A/Netherlands/10497/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-20,,
EPI_ISL_17382819|A/Netherlands/10485/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-15,,
EPI_ISL_17382804|A/Netherlands/10483/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-10,,
EPI_ISL_17382797|A/Netherlands/10481/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-10,,
EPI_ISL_17281193|A/Netherlands/10477/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-12,,
EPI_ISL_17281192|A/Netherlands/10476/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-13,,
EPI_ISL_17281182|A/Netherlands/10449/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-03,,
EPI_ISL_17281170|A/Netherlands/10433/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-08,,
EPI_ISL_17281178|A/Netherlands/10468/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-13,,
EPI_ISL_17233011|A/Netherlands/10415/2023|A_/_H1N1|pdm09|PB1|Original|2023-02-25,,
EPI_ISL_17233014|A/Netherlands/10416/2023|A_/_H1N1|pdm09|PB1|Original|2023-02-28,,
EPI_ISL_17281173|A/Netherlands/10463/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-13,,
EPI_ISL_17233004|A/Netherlands/10428/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-06,,
EPI_ISL_17233002|A/Netherlands/10426/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-06,,
EPI_ISL_17232999|A/Netherlands/10447/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-03,,
EPI_ISL_17232997|A/Netherlands/10445/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-05,,
EPI_ISL_17232996|A/Netherlands/10444/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-05,,
EPI_ISL_17233010|A/Netherlands/10414/2023|A_/_H1N1|pdm09|PB1|Original|2023-02-27,,
EPI_ISL_17232992|A/Netherlands/10440/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-03,,
EPI_ISL_17232991|A/Netherlands/10439/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-01,,
EPI_ISL_17232989|A/Netherlands/10420/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-02,,
EPI_ISL_17232998|A/Netherlands/10446/2023|A_/_H1N1|pdm09|PB1|Original|2023-03-05,,
EPI_ISL_17232987|A/Netherlands/10417/2023|A_/_H1N1|pdm09|PB1|Original|2023-02-28,,
EPI_ISL_17179547|A/Netherlands/10406/2023|A_/_H1N1|pdm09|PB1|Original|2023-02-26,,
